연도,번호,학교명,학교유형,설립,지역,대학규모,시설_도서관건물연면적 (제곱미터),시설_열람석_총열람석수,시설_설비_정보화기기(PC)수,재학생 1인당 도서관건물 연면적_연면적,재학생 1인당 도서관건물 연면적_재학생수(당해년도),재학생 1인당 도서관건물 연면적_재학생 1인당 도서관건물 연면적
2022,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,190.89999389648438,18,0,190.89999389648438,273,0.699999988079071
2022,2,가야대학교,대학,사립,경남,C그룹,3306.800048828125,716,32,3306.800048828125,1937,1.7000000476837158
2022,3,가천대학교,대학,사립,경기,A그룹,13194.2998046875,3001,243,13194.2998046875,22003,0.6000000238418579
2022,4,가톨릭관동대학교,대학,사립,강원,B그룹,8226.0,1329,74,8226.0,7331,1.100000023841858
2022,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,1727.0,185,26,1727.0,468,3.700000047683716
2022,6,가톨릭대학교,대학,사립,경기,A그룹,17684.0,3119,185,17684.0,10504,1.7000000476837158
2022,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,3339.0,414,19,3339.0,1850,1.7999999523162842
2022,8,감리교신학대학교,대학,사립,서울,C그룹,2542.0,170,9,2542.0,1267,2.0
2022,9,강남대학교,대학,사립,경기,B그룹,5555.0,1101,80,5555.0,6719,0.800000011920929
2022,10,강동대학교,전문대학,사립,충북,B그룹,1289.5999755859375,456,38,1289.5999755859375,2972,0.4000000059604645
2022,11,강릉영동대학교,전문대학,사립,강원,B그룹,2521.0,420,7,2521.0,2330,1.100000023841858
2022,12,강서대학교,대학,사립,서울,C그룹,1169.0,284,11,1169.0,1787,0.699999988079071
2022,13,강원관광대학교,전문대학,사립,강원,C그룹,1092.0,228,21,1092.0,415,2.5999999046325684
2022,14,강원대학교,대학,국립,강원,A그룹,29103.900390625,3680,284,29103.900390625,21291,1.399999976158142
2022,15,강원도립대학교,전문대학,공립,강원,C그룹,1735.0,188,9,1735.0,552,3.0999999046325684
2022,16,개신대학원대학교,대학원대학,사립,서울,-,221.5,40,8,221.5,176,1.2999999523162842
2022,17,거제대학교,전문대학,사립,경남,C그룹,1413.5999755859375,306,10,1413.5999755859375,991,1.399999976158142
2022,18,건국대학교,대학,사립,서울,A그룹,24648.0,3498,182,24648.0,19890,1.2000000476837158
2022,19,건국대학교(글로컬),대학,사립,충북,B그룹,10320.0,1136,53,10320.0,7113,1.5
2022,20,건동대학교,대학,사립,경북,C그룹,0.0,0,0,0.0,0,0.0
2022,21,건신대학원대학교,대학원대학,사립,대전,-,446.0,60,5,446.0,156,2.9000000953674316
2022,22,건양대학교,대학,사립,충남,B그룹,9895.0,2013,117,9895.0,7062,1.399999976158142
2022,23,경기과학기술대학교,전문대학,사립,경기,A그룹,4415.0,913,100,4415.0,4411,1.0
2022,24,경기대학교,대학,사립,경기,A그룹,13909.0,2483,149,13909.0,15481,0.8999999761581421
2022,25,경남대학교,대학,사립,경남,A그룹,13473.2001953125,2187,148,13473.2001953125,11331,1.2000000476837158
2022,26,경남도립거창대학,전문대학,공립,경남,C그룹,823.0,180,15,823.0,844,1.0
2022,27,경남도립남해대학,전문대학,공립,경남,C그룹,759.9000244140625,110,27,759.9000244140625,805,0.8999999761581421
2022,28,경남정보대학교,전문대학,사립,부산,A그룹,7791.0,1325,117,7791.0,6010,1.2999999523162842
2022,29,경동대학교,대학,사립,강원,B그룹,12051.0,2511,122,12051.0,7067,1.7000000476837158
2022,30,경민대학교,전문대학,사립,경기,B그룹,2218.39990234375,235,23,2218.39990234375,3790,0.6000000238418579
2022,31,경복대학교,전문대학,사립,경기,A그룹,9777.099609375,1337,111,9777.099609375,6134,1.600000023841858
2022,32,경북과학대학교,전문대학,사립,경북,C그룹,1014.0,252,23,1014.0,1834,0.6000000238418579
2022,33,경북대학교,대학,국립,대구,A그룹,41449.19921875,5620,190,41449.19921875,26917,1.5
2022,34,경북보건대학교,전문대학,사립,경북,C그룹,741.0,210,20,741.0,1250,0.6000000238418579
2022,35,경북외국어대학교,대학,사립,대구,C그룹,0.0,0,0,0.0,0,0.0
2022,36,경북전문대학교,전문대학,사립,경북,B그룹,1621.199951171875,360,8,1621.199951171875,2643,0.6000000238418579
2022,37,경상국립대학교,대학,국립,경남,A그룹,32696.0,3565,212,32696.0,20144,1.600000023841858
2022,38,경성대학교,대학,사립,부산,A그룹,13287.5,1980,173,13287.5,12391,1.100000023841858
2022,39,경안대학원대학교,대학원대학,사립,경북,-,117.30000305175781,33,1,117.30000305175781,48,2.4000000953674316
2022,40,경운대학교,대학,사립,경북,C그룹,6173.0,1352,118,6173.0,4345,1.399999976158142
2022,41,경인교육대학교,대학,국립,인천,C그룹,10071.900390625,1311,85,10071.900390625,3844,2.5999999046325684
2022,42,경인여자대학교,전문대학,사립,인천,B그룹,2202.60009765625,478,36,2202.60009765625,4170,0.5
2022,43,경일대학교,대학,사립,경북,B그룹,12429.0,1522,93,12429.0,7123,1.7000000476837158
2022,44,경찰대학,기타,기타,충남,-,5497.0,260,32,5497.0,0,0.0
2022,45,경희대학교,대학,사립,서울,A그룹,37855.30078125,4893,230,37855.30078125,34414,1.100000023841858
2022,46,계명대학교,대학,사립,대구,A그룹,28169.69921875,3535,435,28169.69921875,22716,1.2000000476837158
2022,47,계명문화대학교,전문대학,사립,대구,A그룹,5555.0,636,63,5555.0,4534,1.2000000476837158
2022,48,계약신학대학원대학교,대학원대학,사립,경기,-,402.0,58,9,402.0,0,0.0
2022,49,계원예술대학교,전문대학,사립,경기,B그룹,3017.0,544,8,3017.0,2804,1.100000023841858
2022,50,고려대학교,대학,사립,서울,A그룹,49714.5,7176,254,49714.5,29445,1.7000000476837158
2022,51,고려대학교(세종),대학,사립,세종,B그룹,8958.0,1113,56,8958.0,7309,1.2000000476837158
2022,52,고려사이버대학교,대학,사립,서울,A그룹,0.0,0,0,0.0,10531,0.0
2022,53,고신대학교,대학,사립,부산,C그룹,7648.60009765625,1384,39,7648.60009765625,4405,1.7000000476837158
2022,54,공군사관학교,기타,기타,충북,-,4105.2001953125,358,16,4105.2001953125,0,0.0
2022,55,공주교육대학교,대학,국립,충남,C그룹,6537.0,841,45,6537.0,1970,3.299999952316284
2022,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,0.0,0,0,0.0,1297,0.0
2022,57,광신대학교,대학,사립,광주,C그룹,2715.0,351,23,2715.0,964,2.799999952316284
2022,58,광양보건대학교,전문대학,사립,전남,C그룹,1308.0,290,6,1308.0,160,8.199999809265137
2022,59,광운대학교,대학,사립,서울,B그룹,10899.7001953125,1584,97,10899.7001953125,9807,1.100000023841858
2022,60,광주가톨릭대학교,대학,사립,전남,C그룹,2883.0,179,19,2883.0,94,30.700000762939453
2022,61,광주과학기술원,대학,국립,광주,C그룹,8760.0,585,48,8760.0,2020,4.300000190734863
2022,62,광주교육대학교,대학,국립,광주,C그룹,5612.0,668,38,5612.0,1795,3.0999999046325684
2022,63,광주대학교,대학,사립,광주,B그룹,14829.5,1083,82,14829.5,6776,2.200000047683716
2022,64,광주보건대학교,전문대학,사립,광주,B그룹,3375.0,1106,17,3375.0,3639,0.8999999761581421
2022,65,광주여자대학교,대학,사립,광주,C그룹,5705.10009765625,966,71,5705.10009765625,3973,1.399999976158142
2022,66,구미대학교,전문대학,사립,경북,A그룹,1484.0,394,94,1484.0,5259,0.30000001192092896
2022,67,구세군사관대학원대학교,대학원대학,사립,경기,-,200.0,24,3,200.0,22,9.100000381469727
2022,68,국군간호사관학교,기타,기타,대전,-,1728.300048828125,434,4,1728.300048828125,0,0.0
2022,69,국립강릉원주대학교,대학,국립,강원,B그룹,22374.0,1818,121,22374.0,7813,2.9000000953674316
2022,70,국립경국대학교,대학,국립,경북,B그룹,12421.0,1442,107,12421.0,6376,1.899999976158142
2022,71,국립공주대학교,대학,국립,충남,A그룹,27957.30078125,3109,147,27957.30078125,14787,1.899999976158142
2022,72,국립군산대학교,대학,국립,전북,B그룹,11398.0,1461,93,11398.0,7502,1.5
2022,73,국립금오공과대학교,대학,국립,경북,B그룹,11367.099609375,1709,73,11367.099609375,5790,2.0
2022,74,국립목포대학교,대학,국립,전남,B그룹,15918.2998046875,1636,77,15918.2998046875,7190,2.200000047683716
2022,75,국립목포해양대학교,대학,국립,전남,C그룹,4713.60009765625,556,41,4713.60009765625,2622,1.7999999523162842
2022,76,국립부경대학교,대학,국립,부산,A그룹,23094.0,4185,99,23094.0,17563,1.2999999523162842
2022,77,국립순천대학교,대학,국립,전남,B그룹,11878.900390625,970,67,11878.900390625,7353,1.600000023841858
2022,78,국립암센터국제암대학원대학교,대학원대학,국립,경기,-,210.0,56,18,210.0,62,3.4000000953674316
2022,79,국립창원대학교,대학,국립,경남,B그룹,15603.0,2125,126,15603.0,8716,1.7999999523162842
2022,80,국립한국교통대학교,대학,국립,충북,B그룹,15319.0,1919,180,15319.0,8508,1.7999999523162842
2022,81,국립한국해양대학교,대학,국립,부산,B그룹,7741.39990234375,1288,61,7741.39990234375,7064,1.100000023841858
2022,82,국립한밭대학교,대학,국립,대전,B그룹,9990.900390625,1473,41,9990.900390625,8786,1.100000023841858
2022,83,국민대학교,대학,사립,서울,A그룹,12646.0,1684,126,12646.0,18017,0.699999988079071
2022,84,국방대학교,기타,기타,충남,-,0.0,0,0,0.0,0,0.0
2022,85,국제뇌교육종합대학원대학교,대학원대학,사립,충남,-,103.0,31,5,103.0,282,0.4000000059604645
2022,86,국제대학교,전문대학,사립,경기,B그룹,703.0999755859375,212,25,703.0999755859375,3107,0.20000000298023224
2022,87,국제문화대학원대학교,대학원대학,사립,충남,-,0.0,0,0,0.0,0,0.0
2022,88,국제법률경영대학원대학교,대학원대학,사립,경기,-,561.5999755859375,170,0,561.5999755859375,180,3.0999999046325684
2022,89,국제사이버대학교,대학,사립,경기,C그룹,0.0,0,4,0.0,3356,0.0
2022,90,국제언어대학원대학교,대학원대학,사립,서울,-,221.39999389648438,42,9,221.39999389648438,85,2.5999999046325684
2022,91,국제예술대학교,기타,기타,서울,-,45.0,1,1,45.0,0,0.0
2022,92,군산간호대학교,전문대학,사립,전북,C그룹,1026.199951171875,346,38,1026.199951171875,1149,0.8999999761581421
2022,93,군장대학교,전문대학,사립,전북,C그룹,712.0,154,20,712.0,1741,0.4000000059604645
2022,94,극동대학교,대학,사립,충북,C그룹,2362.199951171875,673,51,2362.199951171875,3073,0.800000011920929
2022,95,글로벌사이버대학교,대학,사립,충남,C그룹,0.0,0,0,0.0,2280,0.0
2022,96,금강대학교,대학,사립,충남,C그룹,8287.7998046875,481,31,8287.7998046875,227,36.5
2022,97,기독간호대학교,전문대학,사립,광주,C그룹,369.5,62,5,369.5,600,0.6000000238418579
2022,98,김천대학교,대학,사립,경북,C그룹,3509.10009765625,1066,45,3509.10009765625,2693,1.2999999523162842
2022,99,김포대학교,전문대학,사립,경기,C그룹,2302.0,566,17,2302.0,2039,1.100000023841858
2022,100,김해대학교,전문대학,사립,경남,C그룹,839.5,301,2,839.5,1440,0.6000000238418579
2022,101,나사렛대학교,대학,사립,충남,B그룹,4277.0,675,89,4277.0,5101,0.800000011920929
2022,102,나주대학교,전문대학,사립,전남,C그룹,367.0,120,62,367.0,1307,0.30000001192092896
2022,103,남부대학교,대학,사립,광주,C그룹,2433.800048828125,912,21,2433.800048828125,3434,0.699999988079071
2022,104,남서울대학교,대학,사립,충남,B그룹,15937.0,1845,85,15937.0,9739,1.600000023841858
2022,105,농협대학교,전문대학,사립,경기,C그룹,445.70001220703125,90,14,445.70001220703125,399,1.100000023841858
2022,106,능인대학원대학교,대학원대학,사립,경기,-,399.0,57,5,399.0,34,11.699999809265137
2022,107,단국대학교,대학,사립,경기,A그룹,31922.19921875,3978,207,31922.19921875,26277,1.2000000476837158
2022,108,대경대학교,전문대학,사립,경북,B그룹,1176.0,365,36,1176.0,3767,0.30000001192092896
2022,109,대구가톨릭대학교,대학,사립,경북,A그룹,19816.19921875,2125,182,19816.19921875,12663,1.600000023841858
2022,110,대구경북과학기술원,대학,국립,대구,C그룹,11833.0,143,75,11833.0,1664,7.099999904632568
2022,111,대구공업대학교,전문대학,사립,대구,C그룹,1944.0999755859375,272,22,1944.0999755859375,1475,1.2999999523162842
2022,112,대구과학대학교,전문대학,사립,대구,A그룹,6357.10009765625,1218,57,6357.10009765625,4113,1.5
2022,113,대구교육대학교,대학,국립,대구,C그룹,8369.2001953125,1206,70,8369.2001953125,2478,3.4000000953674316
2022,114,대구대학교,대학,사립,경북,A그룹,22444.0,3144,211,22444.0,17402,1.2999999523162842
2022,115,대구미래대학교,전문대학,사립,경북,C그룹,0.0,0,0,0.0,0,0.0
2022,116,대구보건대학교,전문대학,사립,대구,A그룹,3918.0,925,31,3918.0,6650,0.6000000238418579
2022,117,대구사이버대학교,대학,사립,경북,C그룹,12.600000381469727,0,0,12.600000381469727,4663,0.0
2022,118,대구예술대학교,대학,사립,경북,C그룹,891.7000122070312,120,36,891.7000122070312,595,1.5
2022,119,대구외국어대학교,대학,사립,경북,C그룹,0.0,0,0,0.0,0,0.0
2022,120,대구한의대학교,대학,사립,경북,B그룹,7312.2001953125,1047,43,7312.2001953125,6573,1.100000023841858
2022,121,대덕대학교,전문대학,사립,대전,C그룹,1398.0999755859375,374,39,1398.0999755859375,2206,0.6000000238418579
2022,122,대동대학교,전문대학,사립,부산,C그룹,1045.9000244140625,290,38,1045.9000244140625,1478,0.699999988079071
2022,123,대림대학교,전문대학,사립,경기,A그룹,3976.60009765625,893,276,3976.60009765625,6901,0.6000000238418579
2022,124,대신대학교,대학,사립,경북,C그룹,2183.0,284,10,2183.0,613,3.5999999046325684
2022,125,대원대학교,전문대학,사립,충북,C그룹,1417.800048828125,512,24,1417.800048828125,2002,0.699999988079071
2022,126,대전가톨릭대학교,대학,사립,세종,C그룹,1904.0999755859375,113,15,1904.0999755859375,54,35.29999923706055
2022,127,대전과학기술대학교,전문대학,사립,대전,B그룹,12164.0,1308,52,12164.0,3880,3.0999999046325684
2022,128,대전대학교,대학,사립,대전,B그룹,15210.0,1278,99,15210.0,9136,1.7000000476837158
2022,129,대전보건대학교,전문대학,사립,대전,A그룹,3098.0,801,46,3098.0,4815,0.6000000238418579
2022,130,대전신학대학교,대학,사립,대전,C그룹,1991.0,213,6,1991.0,142,14.0
2022,131,대진대학교,대학,사립,경기,B그룹,13847.5,1260,52,13847.5,7921,1.7000000476837158
2022,132,대한신학대학원대학교,대학원대학,사립,경기,-,204.0,42,2,204.0,197,1.0
2022,133,덕성여자대학교,대학,사립,서울,B그룹,10526.400390625,2078,144,10526.400390625,5564,1.899999976158142
2022,134,동강대학교,전문대학,사립,광주,B그룹,3292.800048828125,547,27,3292.800048828125,2582,1.2999999523162842
2022,135,동국대학교,대학,사립,서울,A그룹,23899.099609375,2787,146,23899.099609375,17198,1.399999976158142
2022,136,동국대학교 WISE캠퍼스,대학,사립,경북,B그룹,12274.0,1402,33,12274.0,7613,1.600000023841858
2022,137,동남보건대학교,전문대학,사립,경기,A그룹,5665.0,679,2,5665.0,4569,1.2000000476837158
2022,138,동덕여자대학교,대학,사립,서울,B그룹,8168.5,1598,199,8168.5,7114,1.100000023841858
2022,139,동명대학교,대학,사립,부산,B그룹,10209.7998046875,1615,60,10209.7998046875,7400,1.399999976158142
2022,140,동방문화대학원대학교,대학원대학,사립,서울,-,216.0,35,9,216.0,338,0.6000000238418579
2022,141,동부산대학교,전문대학,사립,부산,C그룹,0.0,0,0,0.0,0,0.0
2022,142,동서대학교,대학,사립,부산,B그룹,15371.0,2327,145,15371.0,9619,1.600000023841858
2022,143,동서울대학교,전문대학,사립,경기,A그룹,4501.7998046875,589,50,4501.7998046875,5788,0.800000011920929
2022,144,동신대학교,대학,사립,전남,B그룹,12927.0,1818,54,12927.0,6694,1.899999976158142
2022,145,동아대학교,대학,사립,부산,A그룹,14133.5,2579,168,14133.5,19946,0.699999988079071
2022,146,동아방송예술대학교,전문대학,사립,경기,B그룹,1185.4000244140625,310,18,1185.4000244140625,3043,0.4000000059604645
2022,147,동아보건대학교,전문대학,사립,전남,C그룹,2013.0,266,0,2013.0,1261,1.600000023841858
2022,148,동양대학교,대학,사립,경북,C그룹,5625.2001953125,1034,35,5625.2001953125,4055,1.399999976158142
2022,149,동양미래대학교,전문대학,사립,서울,A그룹,5827.0,1000,59,5827.0,5943,1.0
2022,150,동우대학,전문대학,사립,강원,B그룹,0.0,0,0,0.0,0,0.0
2022,151,동원과학기술대학교,전문대학,사립,경남,B그룹,6133.0,425,84,6133.0,2372,2.5999999046325684
2022,152,동원대학교,전문대학,사립,경기,B그룹,2555.0,300,25,2555.0,2630,1.0
2022,153,동의과학대학교,전문대학,사립,부산,B그룹,2644.5,479,43,2644.5,4102,0.6000000238418579
2022,154,동의대학교,대학,사립,부산,A그룹,13854.400390625,2930,98,13854.400390625,15406,0.8999999761581421
2022,155,두원공과대학교,전문대학,사립,경기,B그룹,3784.10009765625,637,53,3784.10009765625,2559,1.5
2022,156,디지털서울문화예술대학교,대학,사립,서울,C그룹,0.0,0,0,0.0,3300,0.0
2022,157,루터대학교,대학,사립,경기,C그룹,744.7000122070312,167,16,744.7000122070312,394,1.899999976158142
2022,158,마산대학교,전문대학,사립,경남,A그룹,4360.0,889,41,4360.0,5341,0.800000011920929
2022,159,명신대학교,대학,사립,전남,C그룹,0.0,0,0,0.0,0,0.0
2022,160,명지대학교,대학,사립,서울,A그룹,36199.0,3956,313,36199.0,16020,2.299999952316284
2022,161,명지전문대학,전문대학,사립,서울,A그룹,5568.0,1037,59,5568.0,6694,0.800000011920929
2022,162,목원대학교,대학,사립,대전,B그룹,9275.099609375,1511,50,9275.099609375,7866,1.2000000476837158
2022,163,목포가톨릭대학교,대학,사립,전남,C그룹,1129.0,257,11,1129.0,492,2.299999952316284
2022,164,목포과학대학교,전문대학,사립,전남,B그룹,2943.0,271,5,2943.0,2329,1.2999999523162842
2022,165,문경대학교,전문대학,사립,경북,C그룹,743.0,192,6,743.0,842,0.8999999761581421
2022,166,배재대학교,대학,사립,대전,B그룹,8935.0,1577,80,8935.0,8529,1.0
2022,167,배화여자대학교,전문대학,사립,서울,B그룹,2633.800048828125,462,30,2633.800048828125,2841,0.8999999761581421
2022,168,백석대학교,대학,사립,충남,A그룹,11884.2001953125,2836,161,11884.2001953125,14166,0.800000011920929
2022,169,백석문화대학교,전문대학,사립,충남,A그룹,7538.2001953125,444,75,7538.2001953125,4394,1.7000000476837158
2022,170,백석예술대학,전문대학,사립,서울,A그룹,0.0,0,0,0.0,0,0.0
2022,171,백제예술대학교,전문대학,사립,전북,C그룹,1238.0,110,11,1238.0,1084,1.100000023841858
2022,172,베뢰아국제대학원대학교,대학원대학,사립,서울,-,198.0,16,1,198.0,58,3.4000000953674316
2022,173,벽성대학,전문대학,사립,전북,C그룹,0.0,0,0,0.0,0,0.0
2022,174,부산가톨릭대학교,대학,사립,부산,C그룹,5685.7998046875,1140,51,5685.7998046875,3920,1.5
