Year,ID,SchName,SchType,FoundType,Region,UnivScale,Staff_FullTime_Exclusive_SL1,Staff_FullTime_Exclusive_SL2,Staff_FullTime_Exclusive_AsstLibrarian,Staff_FullTime_Exclusive_NoHolder,Staff_FullTime_Exclusive_TotalSum,Staff_FullTime_MultiRole_SL1,Staff_FullTime_MultiRole_SL2,Staff_FullTime_MultiRole_AsstLibrarian,Staff_FullTime_MultiRole_NoHolder,Staff_FullTime_MultiRole_TotalSum,Staff_PartTime_Exclusive_SL1,Staff_PartTime_Exclusive_SL2,Staff_PartTime_Exclusive_AsstLibrarian,Staff_PartTime_Exclusive_NoHolder,Staff_PartTime_Exclusive_TotalSum,Staff_PartTime_MultiRole_SL1,Staff_PartTime_MultiRole_SL2,Staff_PartTime_MultiRole_AsstLibrarian,Staff_PartTime_MultiRole_NoHolder,Staff_PartTime_MultiRole_TotalSum,Staff_Total_Exclusive_SL1,Staff_Total_Exclusive_SL2,Staff_Total_Exclusive_AsstLibrarian,Staff_Total_Exclusive_NoHolder,Staff_Total_Exclusive_TotalSum,Staff_Total_MultiRole_SL1,Staff_Total_MultiRole_SL2,Staff_Total_MultiRole_AsstLibrarian,Staff_Total_MultiRole_NoHolder,Staff_Total_MultiRole_TotalSum,Staff_Total_TotalSum_SL1,Staff_Total_TotalSum_SL2,Staff_Total_TotalSum_AsstLibrarian,Staff_Total_TotalSum_NoHolder,Staff_Total_TotalSum_TotalSum,StaffEducationStatus_PartiHrs,StaffEducationStatus_PartiCnt,StaffPerKSt_FullTime_Librarian,StaffPerKSt_FullTime_NonLibrarian,StaffPerKSt_PartTime_Librarian,StaffPerKSt_PartTime_NonLibrarian,StaffPerKSt_StCountPrev,StaffPerKSt_StaffPerKSt,LibrarianPerKSt_LibraFT,LibrarianPerKSt_LibraPT,LibrarianPerKSt_StCountPrev,LibrarianPerKSt_LibrarianPerKSt,EduHrsPerStaff_EduHours,EduHrsPerStaff_LibStaffFT,EduHrsPerStaff_LibStaffPT,EduHrsPerStaff_EduHrsPerStaff
2019,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,1,1,0,0.0,0,0.0,0.0,0,0,0,1,1,0,0.0,0,1.0,1.0,0.0,0,0.0,0.0,0.0,1.0,306,1.600000023841858,0.0,0.0,306,0.0,0.0,0.0,1.0,0.0
2019,2,가야대학교,대학,사립,경남,C그룹,1,1.0,0,0.0,2.0,0,0,0,0,0,0,1.0,0,0.0,1.0,0,0,0,0,0,1,2.0,0,0.0,3.0,0,0,0,0,0,1,2.0,0,0.0,3.0,92.3000030517578,16,2.0,0.0,1.0,0.0,2719,1.0,2.0,1.0,2719,1.100000023841858,92.3000030517578,2.0,1.0,30.799999237060547
2019,3,가천대학교,대학,사립,경기,A그룹,2,7.0,1,6.0,16.0,0,0,0,0,0,0,3.0,0,7.0,10.0,0,0,0,0,0,2,10.0,1,13.0,26.0,0,0,0,0,0,2,10.0,1,13.0,26.0,930.5,157,10.0,6.0,3.0,7.0,20507,1.0,10.0,3.0,20507,0.6000000238418579,930.5,16.0,10.0,35.79999923706055
2019,4,가톨릭관동대학교,대학,사립,강원,B그룹,2,1.0,0,0.0,3.0,0,0,1,0,1,0,0.0,0,10.0,10.0,0,0,0,0,0,2,1.0,0,10.0,13.0,0,0,1,0,1,2,1.0,1,10.0,14.0,446.5,72,4.0,0.0,0.0,10.0,8700,1.0,4.0,0.0,8700,0.5,446.5,4.0,10.0,31.899999618530277
2019,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,0,0.0,0,0.0,0.0,0,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,1,0,0,1,0,1.0,0,0.0,1.0,31.0,5,1.0,0.0,0.0,0.0,517,1.899999976158142,1.0,0.0,517,1.899999976158142,31.0,1.0,0.0,31.0
2019,6,가톨릭대학교,대학,사립,경기,A그룹,4,15.0,0,6.0,25.0,0,0,0,0,0,0,2.5,0,0.0,2.5,0,0,0,0,0,4,17.5,0,6.0,27.5,0,0,0,0,0,4,17.5,0,6.0,27.5,872.0,123,19.0,6.0,2.5,0.0,10450,2.5,19.0,2.5,10450,2.0999999046325684,872.0,25.0,2.5,31.700000762939453
2019,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,1,0.0,0,1.0,2.0,0,0,0,0,0,0,1.0,0,0.0,1.0,0,0,0,0,0,1,1.0,0,1.0,3.0,0,0,0,0,0,1,1.0,0,1.0,3.0,178.0,20,1.0,1.0,1.0,0.0,1844,1.399999976158142,1.0,1.0,1844,1.100000023841858,178.0,2.0,1.0,59.29999923706055
2019,8,감리교신학대학교,대학,사립,서울,C그룹,2,1.0,0,0.0,3.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,2,1.0,0,0.0,3.0,0,0,0,0,0,2,1.0,0,0.0,3.0,169.5,25,3.0,0.0,0.0,0.0,1514,2.0,3.0,0.0,1514,2.0,169.5,3.0,0.0,56.5
2019,9,강남대학교,대학,사립,경기,B그룹,0,3.0,0,1.0,4.0,0,0,0,0,0,0,6.0,0,0.0,6.0,0,0,0,0,0,0,9.0,0,1.0,10.0,0,0,0,0,0,0,9.0,0,1.0,10.0,282.5,43,3.0,1.0,6.0,0.0,7127,1.2000000476837158,3.0,6.0,7127,1.2999999523162842,282.5,4.0,6.0,28.299999237060547
2019,10,강동대학교,전문대학,사립,충북,B그룹,0,1.0,0,0.0,1.0,0,0,0,0,0,0,1.0,0,0.0,1.0,0,0,0,0,0,0,2.0,0,0.0,2.0,0,0,0,0,0,0,2.0,0,0.0,2.0,62.0,2,1.0,0.0,1.0,0.0,3906,0.5,1.0,1.0,3906,0.5,62.0,1.0,1.0,31.0
