YR,RK,SNM,SCR
2024,1,서울대학교,86.7
2024,2,연세대학교,80.2
2024,3,고려대학교,80.0
2024,4,성균관대학교,78.9
2024,5,한국과학기술원,78.0
2024,6,한양대학교,76.7
2024,7,경희대학교,75.8
2024,8,포항공과대학교,75.5
2024,9,울산대학교,75.4
2024,10,경북대학교,75.0
2024,11,부산대학교,74.9
2024,12,전남대학교,74.7
2024,13,울산과학기술원,74.6
2024,14,이화여자대학교,73.4
2024,15,중앙대학교,73.1
2024,16,가톨릭대학교,73.1
2024,17,전북대학교,72.9
2024,18,세종대학교,72.9
2024,19,건국대학교,72.7
2024,20,충남대학교,72.5
2024,21,영남대학교,72.4
2024,22,인하대학교,72.3
2024,23,아주대학교,72.1
2024,24,강원대학교,71.7
2024,25,동국대학교,71.6
2024,26,경상국립대학교,71.5
2024,27,광주과학기술원,71.4
2024,28,과학기술연합대학원대학교,71.4
2024,29,인제대학교,71.1
2024,30,가천대학교,71.0
2024,31,충북대학교,71.0
2024,32,한림대학교,70.7
2024,33,서울시립대학교,70.4
2024,34,순천향대학교,69.8
2024,35,서강대학교,69.7
2024,36,단국대학교,69.7
2024,37,대구경북과학기술원,69.6
2024,38,부경대학교,69.6
2024,39,계명대학교,69.2
2024,40,숭실대학교,68.8
2024,41,동아대학교,68.7
2024,42,제주대학교,68.6
2024,43,인천대학교,68.4
2024,44,조선대학교,68.2
2024,45,차의과학대학교,68.2
2024,46,서울과학기술대학교,67.8
2024,47,국민대학교,67.6
2024,48,광운대학교,67.4
2024,49,원광대학교,67.2
2024,50,숙명여자대학교,67.0
2024,51,명지대학교,66.9
2024,52,공주대학교,66.9
2024,53,을지대학교,66.8
2024,54,홍익대학교,66.7
2024,55,국립강릉원주대학교,66.7
2024,56,대구가톨릭대학교,66.5
2024,57,한국외국어대학교,66.2
