Year,ID,SchName,SchType,FoundType,Region,UnivScale,Facility_LibAreaSqm,Facility_ReadSeat_TotSeats,Facility_Equip_InfoPCs,AreaPerSt_Area,AreaPerSt_StCountCurr,AreaPerSt_AreaPerSt
2020,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,429.2999877929688,161,0,429.2999877929688,307,1.399999976158142
2020,2,가야대학교,대학,사립,경남,C그룹,3467.10009765625,797,32,3467.10009765625,2277,1.5
2020,3,가천대학교,대학,사립,경기,A그룹,13194.2998046875,3347,176,13194.2998046875,21077,0.6000000238418579
2020,4,가톨릭관동대학교,대학,사립,강원,B그룹,8226.0,1369,71,8226.0,8518,1.0
2020,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,1727.0,185,26,1727.0,524,3.299999952316284
2020,6,가톨릭대학교,대학,사립,경기,A그룹,17684.0,3105,189,17684.0,10484,1.7000000476837158
2020,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,3339.0,414,38,3339.0,1860,1.7999999523162842
2020,8,감리교신학대학교,대학,사립,서울,C그룹,2542.0,402,13,2542.0,1526,1.7000000476837158
2020,9,강남대학교,대학,사립,경기,B그룹,5555.0,1101,80,5555.0,7101,0.800000011920929
2020,10,강동대학교,전문대학,사립,충북,B그룹,1055.300048828125,350,8,1055.300048828125,3534,0.3000000119209289
2020,11,강릉영동대학교,전문대학,사립,강원,B그룹,2521.0,525,16,2521.0,2663,0.8999999761581421
2020,12,강서대학교,대학,사립,서울,C그룹,1156.0999755859375,281,10,1156.0999755859375,1492,0.800000011920929
2020,13,강원관광대학교,전문대학,사립,강원,C그룹,1092.0,228,21,1092.0,1012,1.100000023841858
2020,14,강원대학교,대학,국립,강원,A그룹,28504.900390625,3756,301,28504.900390625,22114,1.2999999523162842
2020,15,강원도립대학교,전문대학,공립,강원,C그룹,1735.0,188,10,1735.0,635,2.700000047683716
2020,16,개신대학원대학교,대학원대학,사립,서울,-,221.5,40,8,221.5,145,1.5
2020,17,거제대학교,전문대학,사립,경남,C그룹,1413.5999755859375,306,11,1413.5999755859375,1181,1.2000000476837158
